date,tracker_id,tracker_name,metric_name,option_index,polarity,weight,value
2019-01-11,5,Index of Optimism,Will Improve,0,1.0,1.5,53.67
2019-01-11,5,Index of Optimism,Will remain the same,1,0.0,0.2,11.15
2019-01-11,5,Index of Optimism,Will Deteriorate,2,-1.0,1.5,9.64
2019-01-11,5,Index of Optimism,Don't Know/Can't Say,3,0.0,0.0,25.54
2019-01-11,6,Self Nation,The country is moving forward but not my life,0,0.25,0.9,11.37
2019-01-11,6,Self Nation,The country is moving forward and my life too,1,1.0,1.35,57.53
2019-01-11,6,Self Nation,My life is improving but the country is in poor state,2,-0.25,0.9,4.48
2019-01-11,6,Self Nation,My life & the country both are in a poor state,3,-1.0,1.8,22.27
2019-01-11,6,Self Nation,Don't Know/Can't Say,4,0.0,0.0,4.35
2019-01-11,7,Media Usage,TV news channels,0,0.0,0.0,52.33
2019-01-11,7,Media Usage,Radio,1,0.0,0.0,1.8
2019-01-11,7,Media Usage,Newspapers,2,0.0,0.0,12.78
2019-01-11,7,Media Usage,News magazines,3,0.0,0.0,0.11
2019-01-11,7,Media Usage,Internet / social media,4,0.0,0.0,27.1
2019-01-11,7,Media Usage,Political rallies / gatherings,5,0.0,0.0,0.03
2019-01-11,7,Media Usage,Personal interaction with friends/colleagues,6,0.0,0.0,2.63
2019-01-11,7,Media Usage,Don't Know/Can't Say,7,0.0,0.0,0.56
2019-01-12,1,National Issues,Corruption,0,-1.0,1.0,10.23
2019-01-12,1,National Issues,Unemployment,1,-1.0,1.5,27.5
2019-01-12,1,National Issues,Familiy Income Poverty,2,-1.0,1.2,9.58
2019-01-12,1,National Issues,Rising Prices,3,-1.0,1.5,7.13
2019-01-12,1,National Issues,Electricity Road Water,4,-1.0,0.8,5.68
2019-01-12,1,National Issues,Terror Attacks,5,1.0,0.9,2.14
2019-01-12,1,National Issues,Epidemics such as Corona etc.,6,-0.5,0.6,0.0
2019-01-12,1,National Issues,Other Issues,7,0.0,0.0,30.57
2019-01-12,1,National Issues,Don't Know/Can't Say,8,0.0,0.0,7.17
2019-01-12,2,Quality of Life Index,Improved,0,1.0,1.3,37.64
2019-01-12,2,Quality of Life Index,Remained the same,1,0.0,0.2,30.67
2019-01-12,2,Quality of Life Index,Deteriorated,2,-1.0,1.4,30.4
2019-01-12,2,Quality of Life Index,Don't Know/Can't Say,3,0.0,0.0,1.29
2019-01-12,5,Index of Optimism,Will Improve,0,1.0,1.5,54.1
2019-01-12,5,Index of Optimism,Will remain the same,1,0.0,0.2,11.13
2019-01-12,5,Index of Optimism,Will Deteriorate,2,-1.0,1.5,9.51
2019-01-12,5,Index of Optimism,Don't Know/Can't Say,3,0.0,0.0,25.26
2019-01-12,6,Self Nation,The country is moving forward but not my life,0,0.25,0.9,11.18
2019-01-12,6,Self Nation,The country is moving forward and my life too,1,1.0,1.35,57.86
2019-01-12,6,Self Nation,My life is improving but the country is in poor state,2,-0.25,0.9,4.52
2019-01-12,6,Self Nation,My life & the country both are in a poor state,3,-1.0,1.8,22.06
2019-01-12,6,Self Nation,Don't Know/Can't Say,4,0.0,0.0,4.38
2019-01-12,7,Media Usage,TV news channels,0,0.0,0.0,52.74
2019-01-12,7,Media Usage,Radio,1,0.0,0.0,1.88
2019-01-12,7,Media Usage,Newspapers,2,0.0,0.0,12.35
2019-01-12,7,Media Usage,News magazines,3,0.0,0.0,0.11
2019-01-12,7,Media Usage,Internet / social media,4,0.0,0.0,27.14
