date,Deteriorated,Don't Know/Can't Say,Improved,Remained the same
2020-05-14,27.24,1.5,38.52,32.74
2020-05-15,27.0,1.76,38.02,33.22
2020-05-16,27.53,1.81,37.4,33.26
2020-05-17,27.41,1.77,37.8,33.02
2020-05-18,27.9,1.76,37.58,32.76
2020-05-19,29.55,1.28,37.42,31.75
2020-05-20,28.73,1.28,37.66,32.33
2020-05-21,29.24,1.15,37.45,32.16
2020-05-22,28.12,1.13,37.83,32.92
2020-05-23,27.9,1.21,37.73,33.16
2020-05-24,27.4,1.05,37.45,34.1
2020-05-25,27.61,1.01,37.85,33.53
2020-05-26,27.5,1.01,37.36,34.13
2020-05-27,27.37,1.02,37.29,34.32
2020-05-28,27.25,0.99,37.4,34.36
2020-05-29,27.31,0.99,37.17,34.53
2020-05-30,27.34,0.99,36.81,34.86
2020-05-31,27.55,0.98,36.72,34.75
2020-06-01,27.81,0.93,36.57,34.69
2020-06-02,28.44,0.92,36.18,34.46
2020-06-03,28.96,0.95,35.76,34.33
2020-06-04,28.64,0.97,35.32,35.07
2020-06-05,28.92,0.86,35.86,34.36
2020-06-06,28.73,0.83,35.96,34.48
2020-06-07,29.16,0.81,35.72,34.31
2020-06-08,30.7,0.82,34.34,34.14
2020-06-09,29.99,0.78,34.9,34.33
2020-06-10,30.02,0.72,34.98,34.28
2020-06-11,30.49,0.64,35.38,33.49
2020-06-12,31.04,0.65,35.27,33.04
2020-06-13,30.71,0.67,35.6,33.02
2020-06-14,31.01,0.8,35.43,32.76
2020-06-15,31.51,0.79,35.27,32.43
2020-06-16,31.95,0.71,34.03,33.31
2020-06-17,32.18,0.77,34.02,33.03
2020-06-18,33.17,0.74,34.4,31.69
2020-06-19,33.23,0.87,34.15,31.75
2020-06-20,33.39,1.04,33.51,32.06
2020-06-21,33.68,1.01,33.64,31.67
2020-06-22,33.51,1.0,33.67,31.82
2020-06-23,33.53,0.96,33.75,31.76
2020-06-24,34.01,0.95,33.56,31.48
2020-06-25,33.54,0.98,33.81,31.67
2020-06-26,32.93,0.95,33.55,32.57
2020-06-27,33.78,1.14,33.52,31.56
2020-06-28,33.2,1.09,34.25,31.46
2020-06-29,33.09,1.05,34.2,31.66
2020-06-30,32.95,1.07,34.18,31.8
2020-07-01,32.82,1.08,34.42,31.68
2020-07-02,32.94,1.07,34.35,31.64
2020-07-03,33.26,1.05,34.32,31.37
2020-07-04,33.27,1.09,34.71,30.93
2020-07-05,32.67,1.09,35.57,30.67
2020-07-06,33.08,1.18,35.61,30.13
2020-07-07,33.16,1.13,35.23,30.48
2020-07-08,33.3,1.15,34.97,30.58
2020-07-09,33.33,1.21,34.85,30.61
2020-07-10,33.31,1.18,35.06,30.45
2020-07-11,33.14,1.13,35.77,29.96
